carat,cut,colour,clarity,depth_percentage,table,x_width,y_width,z_width,price
1.06,Ideal,G,VVS1,61.6,57,6.55,6.53,4.03,8643
0.3,Premium,H,VVS1,61.1,61,4.3,4.27,2.62,819
0.81,Ideal,I,SI1,61.3,56,6.23,6.27,3.83,3097
1.01,VeryGood,D,SI2,59.1,63,6.54,6.59,3.88,3605
0.62,Ideal,G,SI2,62.1,55,5.46,5.49,3.4,1327
1.21,Ideal,H,VS1,62.7,56,6.79,6.84,4.27,6784
1.61,Ideal,I,SI1,62.4,55,7.49,7.52,4.68,10236
1.13,Ideal,I,VVS1,61.6,57,6.67,6.75,4.12,7459
0.3,Ideal,E,IF,62.6,53,4.29,4.33,2.7,943
0.31,Premium,H,IF,60.4,58,4.41,4.43,2.67,761
1.19,Good,H,VS1,60.8,61,6.86,6.88,4.18,7152
1.13,VeryGood,E,VS2,61.9,61,6.61,6.64,4.1,8358
0.63,Premium,F,SI1,60.9,56,5.58,5.56,3.39,1736
1.18,Ideal,I,SI1,62.2,56,6.85,6.75,4.23,5088
0.29,VeryGood,F,VS1,61.2,58,4.24,4.29,2.61,504
0.53,Ideal,G,VVS1,62.1,54,5.2,5.23,3.24,1990
0.43,VeryGood,G,SI1,60.4,58,4.87,4.9,2.95,754
1.52,Premium,D,SI2,59.8,60,7.5,7.42,4.46,10623
1.05,Premium,H,VS2,62.7,59,6.43,6.49,4.05,5370
0.51,Ideal,F,SI1,61.7,56,5.12,5.15,3.17,1394
1.02,Ideal,H,SI2,60.7,57,6.51,6.54,3.96,4319
0.4,Ideal,F,IF,61.8,55,4.74,4.8,2.95,1261
0.32,VeryGood,G,VS1,63,55,4.35,4.38,2.75,645
0.97,VeryGood,H,SI1,62.8,55,6.25,6.3,3.94,4404
0.3,Premium,I,VS1,63,53,4.31,4.26,2.7,608
0.51,Premium,G,SI1,61.4,58,5.17,5.14,3.16,1071
1.57,Premium,I,SI2,62.2,60,7.43,7.36,4.6,6401
0.58,Ideal,F,VS2,62.4,57,5.31,5.33,3.32,1798
0.54,VeryGood,G,VS1,64,59.5,5.12,5.17,3.3,1563
1.01,Ideal,I,SI1,61.9,57,6.4,6.5,3.98,4509
0.32,Ideal,J,VS2,62.1,54,4.38,4.44,2.74,393
1.07,Ideal,E,SI2,61.2,56,6.63,6.66,4.07,4799
0.41,Ideal,H,VVS1,61.5,55,4.81,4.79,2.95,1011
0.5,VeryGood,F,VVS2,61.9,56,5.09,5.12,3.16,2003
0.32,Ideal,G,VVS1,61.4,57,4.39,4.41,2.7,814
0.9,Premium,E,VS2,61.4,57,6.19,6.16,3.79,4435
1.21,Premium,G,VS2,62.2,58,6.88,6.78,4.25,7454
0.3,Ideal,H,IF,61.5,56,4.32,4.33,2.66,764
1.5,Ideal,F,SI1,62.7,56,7.25,7.35,4.58,9347
0.5,Premium,E,VS2,61.3,56,5.16,5.11,3.15,1629
0.4,Ideal,D,VS1,62.3,56,4.74,4.77,2.96,1059
1.01,Good,E,VVS2,63.9,58,6.37,6.31,4.05,8569
0.35,Premium,F,VS2,61.8,58,4.48,4.52,2.78,706
0.24,VeryGood,F,VVS2,62.8,58,3.95,3.98,2.49,552
1.04,Premium,D,VS1,62.3,59,6.48,6.39,4.01,8341
0.38,Premium,H,VVS1,61.2,60,4.7,4.68,2.87,1033
0.35,Premium,H,VVS1,60.6,60,4.57,4.51,2.75,1024
0.57,Premium,E,VS2,63,59,5.29,5.25,3.32,1778
0.32,Ideal,H,VS2,62,55,4.38,4.4,2.72,505
0.41,Ideal,H,VS1,61.6,57,4.77,4.81,2.95,829
0.51,Ideal,E,VS2,61,57,5.21,5.12,3.15,1662
1.14,Premium,E,VVS2,59.7,58,6.83,6.91,4.1,10258
0.42,Ideal,G,VS2,61.2,56,4.84,4.8,2.95,1087
1.6,Ideal,I,SI2,61.9,57,7.51,7.48,4.64,8530
0.76,Ideal,I,IF,61.6,55,5.92,5.89,3.64,2988
0.34,Premium,E,VS2,62.7,56,4.51,4.48,2.82,893
0.57,Ideal,E,SI1,61.8,57,5.28,5.33,3.28,1608
0.26,Ideal,H,VS2,61.3,56,4.09,4.13,2.52,434
0.8,Ideal,I,VS1,60.7,59,5.98,6.02,3.64,3010
1.03,VeryGood,H,SI2,63.1,56,6.43,6.38,4.04,3288
0.56,Ideal,D,VS2,60.6,56,5.37,5.33,3.24,2066
0.31,Premium,E,VVS1,62,59,4.3,4.34,2.68,789
0.33,Ideal,G,VVS1,62.3,55,4.46,4.43,2.77,1114
1.11,Ideal,F,VVS1,61.9,57,6.62,6.66,4.11,10412
0.24,VeryGood,D,VVS2,62.9,59,3.95,3.97,2.49,492
1.05,Ideal,F,SI1,61.3,54,6.58,6.61,4.04,5842
0.29,Premium,F,SI1,62.4,58,4.26,4.24,2.65,518
1.22,Ideal,H,SI1,62.2,56,6.84,6.89,4.27,6541
1.22,Premium,H,SI1,62.4,58,6.82,6.77,4.24,6153
0.38,VeryGood,F,VS1,59.7,61,4.69,4.73,2.81,988
0.91,Ideal,E,SI2,62.7,57,6.19,6.26,3.9,3756
1.21,Premium,F,VS1,61.6,58,6.88,6.82,4.22,8196
0.62,Premium,F,VS2,62.3,60,5.46,5.39,3.38,2009
0.55,Ideal,E,VS1,61.2,57,5.3,5.28,3.24,2107
1,Premium,E,SI2,62.9,61,6.3,6.23,3.94,3450
0.71,Premium,J,SI2,61.8,54,5.74,5.7,3.53,1305
0.91,Premium,E,VS1,62.7,59,6.19,6.15,3.87,4969
0.75,Ideal,J,VS2,62.3,57,5.84,5.81,3.63,2025
0.52,Ideal,H,VVS1,61.7,56,5.17,5.2,3.19,1625
0.33,Ideal,G,SI1,62.2,54,4.42,4.45,2.76,475
1.13,Premium,H,SI2,62.7,55,6.69,6.61,4.17,4746
0.52,Ideal,G,SI1,61.7,56,5.18,5.22,3.21,1266
0.25,Premium,E,VS1,60.7,59,4.13,4.11,2.5,558
0.53,Premium,E,SI1,61.8,60,5.21,5.18,3.21,2099
0.83,Ideal,E,SI2,61.9,53,6.08,6.04,3.75,3049
0.38,VeryGood,D,VVS2,59.1,59.9,4.71,4.75,2.79,1225
0.64,Ideal,G,VS1,62.3,54,5.54,5.56,3.46,2155
1.04,Ideal,I,VS1,61.4,58,6.46,6.54,3.99,5572
0.54,Ideal,G,SI1,61.5,55.1,5.25,5.27,3.23,1395
0.56,Ideal,H,VVS1,60.8,57,5.3,5.35,3.24,1929
0.33,Premium,H,VS2,62.4,58,4.39,4.42,2.75,521
1.2,VeryGood,G,SI1,62.8,57,6.68,6.73,4.21,6526
0.23,Good,E,VVS2,64.5,55,3.85,3.9,2.5,472
1.01,VeryGood,E,VVS1,63.6,55,6.35,6.39,4.05,10993
1.01,Premium,G,VS1,62.3,59,6.42,6.38,3.99,6618
1.04,Ideal,I,SI1,61.3,57,6.57,6.54,4.02,4659
1.21,Premium,H,VS2,61,58,6.9,6.83,4.19,7142
0.51,Ideal,G,VVS2,61.6,55,5.13,5.16,3.17,2197
0.56,Premium,D,SI1,61.4,58,5.29,5.33,3.26,1723
1.51,Ideal,H,SI1,61.3,56,7.44,7.4,4.55,10012
0.3,Ideal,D,VS2,61.8,55,4.32,4.35,2.68,606
0.3,Ideal,D,SI1,62,56,4.34,4.3,2.68,709
0.36,Ideal,D,VS1,60.8,57,4.59,4.62,2.8,1094
1.31,Premium,J,SI1,62.5,55,7.05,6.97,4.38,5480
0.32,Ideal,I,VVS2,62.6,54,4.41,4.37,2.75,720
0.91,Premium,H,SI1,62.2,56,6.23,6.18,3.86,3180
1.15,VeryGood,I,SI2,62,58,6.69,6.73,4.16,4405
1.54,Ideal,H,SI1,61.1,56,7.47,7.42,4.56,9391
1.19,Ideal,I,IF,61.7,56,6.78,6.81,4.19,7207
0.23,Ideal,F,VS1,61.9,56,3.94,3.96,2.44,493
0.31,Ideal,H,VS2,62.1,53.8,4.33,4.37,2.7,502
1,Good,E,SI1,63.9,57,6.31,6.34,4.04,4573
0.6,VeryGood,E,SI2,62.8,56,5.41,5.45,3.41,1385
0.8,Good,E,VS1,60.2,54,6.04,6.01,3.63,4444
0.43,Good,D,SI1,63.4,55,4.78,4.84,3.05,774
0.33,Ideal,H,VS2,61,55,4.49,4.52,2.75,539
1.21,Premium,J,VS2,60.2,57,6.97,6.91,4.18,5541
0.72,VeryGood,E,VS2,63,56,5.66,5.73,3.59,2949
0.43,Ideal,D,SI2,61,57,4.81,4.86,2.95,716
0.72,Ideal,F,SI1,62.3,56,5.77,5.79,3.6,3004
0.4,Good,H,VVS2,59.1,61,4.79,4.82,2.84,823
0.46,VeryGood,F,SI2,61.5,56,4.98,5.01,3.07,809
0.74,Premium,E,SI2,62.2,57,5.79,5.77,3.59,2002
0.81,VeryGood,E,SI1,60.3,60,6.07,6.1,3.67,2797
0.56,VeryGood,G,VS2,60.9,58,5.34,5.36,3.26,1580
0.7,Ideal,E,SI1,61.9,55,5.74,5.77,3.56,2537
0.38,Ideal,E,SI1,61.8,53.8,4.63,4.67,2.88,693
1.51,Good,I,SI1,63.8,59,7.27,7.21,4.62,6266
1,Ideal,J,SI2,62.1,56,6.34,6.41,3.96,3465
0.3,VeryGood,J,SI1,62.7,59,4.21,4.27,2.66,351
0.9,VeryGood,G,SI2,62.1,58,6.08,6.13,3.79,3303
0.52,Good,E,VS2,61.5,61,5.16,5.09,3.15,1660
0.71,Ideal,J,SI2,61.3,56,5.73,5.78,3.53,1901
0.77,Premium,E,SI2,61.3,55,5.9,5.85,3.6,2723
0.35,VeryGood,G,VVS2,62.2,58,4.49,4.54,2.81,798
0.3,VeryGood,F,SI1,63.5,57,4.27,4.24,2.7,641
0.31,Ideal,H,VVS1,60.9,56,4.4,4.42,2.69,671
0.53,Ideal,D,VS2,61.1,56,5.28,5.24,3.21,1825
0.9,VeryGood,D,SI1,63.3,57,6.12,6.07,3.86,4304
0.43,Premium,F,VVS1,61.5,56,4.9,4.86,3,1422
0.35,Ideal,F,VS2,62.4,55,4.53,4.51,2.82,906
0.33,Ideal,E,VVS1,61.2,56,4.51,4.45,2.74,1052
0.46,Ideal,I,VS1,62.2,54,4.95,4.99,3.09,906
0.42,Ideal,E,VS2,61.8,57,4.77,4.81,2.96,958
0.33,VeryGood,D,VVS2,61.9,56,4.44,4.48,2.76,856
0.5,Ideal,G,VVS2,61.8,54,5.11,5.15,3.17,1766
0.35,Ideal,E,VS2,61.9,54,4.53,4.58,2.82,923
0.31,Good,F,SI1,63.1,57,4.28,4.31,2.71,516
0.53,Premium,G,VS2,60.7,59,5.24,5.18,3.16,1607
1,Premium,G,VS1,62.3,58,6.39,6.3,3.95,6290
0.77,Ideal,I,VS1,61.4,56,5.86,5.9,3.61,2635
0.7,Good,E,SI1,63.5,59,5.49,5.53,3.5,2812
1.02,Premium,F,SI2,61.1,59,6.41,6.45,3.93,4459
1.23,Premium,F,VS2,61.2,58,6.93,6.87,4.22,9333
0.6,VeryGood,E,SI2,63.2,60,5.32,5.28,3.35,1250
0.3,Ideal,F,VS1,61.8,55,4.31,4.33,2.67,612
0.7,Good,H,SI2,60.2,63,5.7,5.73,3.44,1950
0.4,Premium,F,VVS2,60.8,59,4.72,4.76,2.88,1088
0.7,VeryGood,G,VS1,61.6,57,5.69,5.73,3.52,3127
0.74,Premium,F,VS2,61.9,56,5.8,5.77,3.58,2805
0.41,Ideal,E,VVS1,61.7,56,4.78,4.82,2.96,1367
1.02,Premium,G,SI1,62.2,58,6.44,6.48,4.02,4435
0.73,Premium,F,SI1,61.9,60,5.81,5.78,3.59,2527
1.66,Premium,H,VS2,62.3,58,7.62,7.57,4.73,10993
0.38,Ideal,H,SI1,61.2,56,4.7,4.74,2.89,697
0.33,VeryGood,D,SI1,60,59,4.47,4.5,2.69,608
1.05,Ideal,I,VS2,62.2,55.8,6.49,6.52,4.04,6279
0.5,VeryGood,I,VS1,63.1,56,5.07,5.01,3.18,1013
0.3,Ideal,D,VS2,61.4,54,4.34,4.39,2.68,670
1.01,Fair,F,VS2,64.5,58,6.28,6.18,4.02,5226
0.31,Ideal,E,SI1,61.1,56,4.39,4.41,2.69,660
0.2,Ideal,E,VS2,59.7,55,3.86,3.84,2.3,367
1.01,Good,G,VS1,63.8,57,6.38,6.35,4.06,6882
0.35,Ideal,D,VS2,61.5,56,4.55,4.53,2.79,1063
0.7,VeryGood,G,VS2,62.7,57,5.65,5.7,3.56,2507
0.32,Premium,D,VS2,61.7,58,4.38,4.34,2.69,972
0.43,Ideal,E,VS2,62,57,4.82,4.85,3,981
0.9,VeryGood,G,VS2,62.4,60,6.07,6.11,3.8,4182
0.3,Ideal,F,IF,61.8,56,4.29,4.32,2.66,886
0.96,Good,J,VS2,63.9,58,6.27,6.21,3.99,3312
0.31,Premium,G,VS2,61.2,59,4.36,4.4,2.68,471
0.3,Good,D,SI1,63.8,57,4.29,4.27,2.73,709
1.51,VeryGood,J,VS1,63.5,60,7.29,7.23,4.61,7991
1.02,VeryGood,D,SI1,62.7,57,6.42,6.5,4.05,5839
1.08,Good,E,SI2,63.7,57,6.49,6.54,4.15,4656
0.53,Ideal,G,SI1,61,55,5.23,5.26,3.2,1439
1.01,Ideal,E,SI2,62.8,57,6.38,6.35,4,4434
1.06,Ideal,F,VS2,61.1,56.5,6.57,6.6,4.03,7637
1.11,VeryGood,I,SI2,62.6,55,6.65,6.71,4.18,4168
0.73,VeryGood,F,VS2,62.7,58,5.73,5.75,3.6,2939
0.32,Ideal,G,VS1,61.6,56,4.42,4.38,2.71,828
1.51,Ideal,G,SI1,61.6,56,7.34,7.25,4.5,8283
0.23,VeryGood,E,VVS2,61.9,57,3.91,3.94,2.43,505
1.03,VeryGood,D,SI2,61.8,60,6.42,6.45,3.98,4478
0.52,VeryGood,H,VVS1,63.9,59,5.08,5.1,3.25,1664
0.7,Fair,D,SI1,64.6,57,5.6,5.57,3.61,2318
0.55,Ideal,G,VVS1,62,55,5.25,5.27,3.26,2042
0.76,Premium,D,VS2,60.9,58,5.9,5.85,3.58,2977
1.12,VeryGood,E,SI2,60.9,63,6.65,6.59,4.03,3864
0.33,Premium,E,VS2,60.7,58,4.47,4.49,2.72,723
0.67,Ideal,G,SI1,62.9,54,5.63,5.6,3.53,1809
0.71,VeryGood,E,VS1,63.3,59,5.64,5.68,3.58,3064
1,Premium,H,SI2,62.8,60,6.46,6.34,4.02,3080
1.5,VeryGood,J,VS1,62.2,58,7.19,7.27,4.5,8014
0.34,Ideal,F,VVS2,59.1,57,4.66,4.61,2.74,1071
0.32,Premium,F,VVS2,61.8,60,4.41,4.36,2.71,1008
0.83,Good,J,SI1,63.8,58,5.95,5.97,3.8,2195
0.56,Ideal,I,SI1,61.9,57,5.25,5.29,3.26,1212
0.41,VeryGood,E,SI1,60.4,58,4.75,4.79,2.88,725
0.29,Ideal,H,VVS2,61.7,56,4.29,4.33,2.66,511
0.9,Good,F,SI1,64,59,5.97,5.99,3.83,3696
1.51,Ideal,I,SI1,61.1,59,7.4,7.37,4.51,8342
0.34,Ideal,H,VVS2,62.2,55,4.48,4.49,2.79,686
0.3,VeryGood,H,VS2,60.9,61,4.27,4.3,2.61,473
0.4,Ideal,E,VVS2,62.2,56,4.71,4.78,2.95,1158
1.03,Ideal,F,SI1,61.3,56,6.51,6.55,4,6059
0.74,VeryGood,E,VS1,63.1,58,5.75,5.73,3.62,2849
0.34,Premium,E,VVS2,62.7,59,4.43,4.41,2.77,995
0.3,VeryGood,H,VS1,60.4,61,4.3,4.34,2.61,526
0.94,Premium,D,VS1,62.3,58,6.34,6.28,3.93,5980
1.52,Premium,D,SI2,59.2,62,7.51,7.46,4.43,10291
1.01,Good,D,VS2,61.8,59,6.28,6.35,3.9,6912
0.5,Ideal,H,VVS2,60.4,55,5.16,5.2,3.13,1608
0.31,VeryGood,G,VS1,63.3,57,4.31,4.28,2.72,749
0.64,VeryGood,E,VS2,60.5,58.1,5.59,5.62,3.39,2222
1.01,Ideal,G,SI1,62.2,55,6.44,6.46,4.01,5166
1.02,Premium,G,I1,61.3,57,6.47,6.35,3.93,2387
0.5,Good,D,VS2,63.7,56,5.05,5.09,3.23,1635
0.25,VeryGood,E,VVS2,62.1,58,4.03,4.06,2.51,575
1.31,Premium,I,VS2,61.9,59,7.02,6.98,4.33,6323
0.73,Premium,J,VS1,60.2,58,5.87,5.82,3.52,2037
0.73,Premium,E,VS1,62.6,60,5.68,5.75,3.58,2876
0.31,Ideal,E,VS2,61.7,55,4.38,4.41,2.71,642
1.21,Premium,J,VS1,61,60,6.88,6.83,4.18,4675
0.71,VeryGood,D,SI1,60.1,60,5.76,5.79,3.47,2921
0.51,VeryGood,E,SI1,60.9,57,5.17,5.2,3.16,1357
1.11,Premium,G,VS2,61.4,58,6.7,6.66,4.1,6534
0.38,Premium,J,SI1,61.3,59,4.62,4.68,2.85,513
0.41,VeryGood,F,VVS1,61.4,58,4.76,4.78,2.93,1122
0.8,Good,G,VS2,64.2,58,5.84,5.81,3.74,2753
0.52,Ideal,H,VVS1,62.4,55,5.11,5.15,3.2,1695
0.54,Ideal,H,IF,60.3,55,5.29,5.33,3.2,2210
0.52,Ideal,D,SI2,62.5,56,5.12,5.08,3.19,1385
0.26,Ideal,F,VS2,62.1,57,4.06,4.12,2.54,453
0.33,Premium,G,VS2,61.9,59,4.4,4.46,2.74,579
0.7,Premium,G,VS2,61.6,58,5.69,5.73,3.52,2633
0.47,Ideal,F,VVS1,61.9,55,4.98,5,3.09,1779
0.37,VeryGood,E,SI2,61.9,55,4.63,4.67,2.87,541
0.42,Premium,G,SI1,62.2,58,4.75,4.73,2.95,945
1,Good,H,VVS2,63.7,52,6.41,6.36,4.07,6194
0.59,Premium,E,VS2,62.5,56,5.4,5.36,3.36,2578
0.28,VeryGood,F,VVS2,61.6,56,4.2,4.23,2.59,707
0.3,Ideal,G,VVS2,61.5,55,4.32,4.3,2.65,878
0.35,Premium,J,VS1,62.4,58,5.67,5.64,3.53,949
1,VeryGood,D,VS2,62.6,56,6.33,6.39,3.98,6881
0.9,VeryGood,E,VVS2,62.2,60,6.04,6.12,3.78,6289
0.32,Premium,H,VVS2,60.2,60,4.48,4.45,2.69,828
1,Ideal,E,SI1,62.2,53.9,6.4,6.5,4,5728
0.7,Good,D,SI2,63.7,58,5.6,5.64,3.58,2367
0.5,Fair,D,SI1,64.6,59,4.93,4.95,3.19,1253
0.53,Ideal,G,VVS2,60.4,59,5.26,5.3,3.19,1946
0.42,Premium,G,VS1,60.9,58,4.81,4.84,2.94,921
0.4,Ideal,F,VVS1,62.5,57,4.72,4.75,2.96,1263
0.52,Ideal,D,VVS2,61.4,56,5.23,5.2,3.2,2302
0.91,VeryGood,F,SI2,63.3,54,6.22,6.14,3.91,3746
0.99,VeryGood,F,SI1,62.5,58,6.36,6.38,3.98,5112
1.02,Ideal,G,VS2,62,57,6.38,6.46,3.98,5816
0.3,Ideal,F,IF,62.2,57,4.3,4.32,2.68,886
1.55,Ideal,J,VS2,61.7,55,7.38,7.43,4.58,8088
0.32,Premium,I,VVS2,62.1,59,4.35,4.38,2.71,561
0.95,Ideal,E,VS1,61.5,57,6.28,6.3,3.87,5983
1.02,Ideal,E,VS2,60.2,56,6.56,6.62,3.97,7465
0.9,Good,D,SI1,63.8,58,6.13,6.09,3.9,4120
0.71,Premium,E,VS1,59.7,57,5.87,5.78,3.48,2920
1.31,VeryGood,I,SI1,62.6,59,6.97,6.86,4.33,6686
0.41,Ideal,G,VVS1,62.1,55,4.79,4.74,2.96,1230
1.15,Ideal,J,SI1,61.8,57,6.73,6.67,4.14,4347
0.51,Ideal,D,VS2,62.9,56,5.1,5.07,3.2,1716
1.01,Premium,G,VVS2,61.9,59,6.41,6.45,3.98,7821
0.71,Ideal,E,SI1,61.7,55,5.73,5.77,3.55,3376
0.51,VeryGood,F,SI1,63.7,55,5.06,5.11,3.24,1271
0.9,Ideal,H,SI1,62.8,57,6.16,6.14,3.86,3629
0.5,Good,F,VS2,63.2,56,5.01,5.05,3.18,1436
0.8,Ideal,D,SI2,61.9,54,5.95,6,3.7,3210
0.31,Ideal,F,IF,60.2,57,4.38,4.44,2.65,1155
0.31,Ideal,E,SI1,62.4,57,4.34,4.31,2.7,698
0.31,Ideal,D,VS2,59.4,57,4.5,4.45,2.66,879
0.38,Premium,H,VVS2,62,58,4.64,4.62,2.87,1069
0.41,Premium,D,VVS1,62.2,58,4.71,4.77,2.95,1349
0.43,Good,D,SI2,63.3,57,4.79,4.82,3.04,669
1.51,Ideal,I,SI1,62.8,54,7.31,7.27,4.58,8574
0.43,Ideal,G,SI1,62,55,4.84,4.87,3.01,795
1.01,Premium,F,VS2,59.2,61,6.59,6.55,3.89,6900
1.2,VeryGood,I,SI1,62.9,54,6.75,6.77,4.25,5955
0.83,Ideal,E,SI2,61.9,53,6.04,6.08,3.75,3103
0.73,VeryGood,D,SI1,63.1,57,5.74,5.7,3.61,2808
0.64,Ideal,D,VS2,60.7,59,5.58,5.62,3.4,2224
0.52,VeryGood,F,VVS1,62,57,5.11,5.15,3.18,2314
0.4,Ideal,E,VS1,61.6,56,4.78,4.73,2.93,1125
0.51,Ideal,H,VS2,61.4,56,5.14,5.19,3.17,1375
1.76,VeryGood,I,SI2,62,57,7.7,7.74,4.78,9898
0.38,Ideal,E,VS2,61.7,54,4.66,4.68,2.88,1038
1.2,Premium,H,VS2,62.5,58,6.77,6.73,4.23,6416
0.32,Ideal,F,VS1,61.5,56,4.4,4.44,2.72,639
0.42,Ideal,G,VVS2,61.7,56,4.84,4.88,3,1571
0.38,Ideal,E,VVS2,61.8,56,4.67,4.72,2.9,947
0.31,Premium,J,SI1,59.4,62,4.43,4.39,2.62,453
1.51,Ideal,G,SI2,61.2,56.1,7.39,7.41,4.53,9104
0.4,VeryGood,F,VS1,61.5,59,4.71,4.76,2.91,982
0.72,Ideal,H,VS1,61.4,56,5.79,5.81,3.56,2998
0.3,Premium,E,SI2,61.5,62,4.31,4.28,2.64,468
0.7,Fair,E,SI1,64.4,53,5.61,5.57,3.6,2697
0.33,Premium,E,VS1,60.9,58,4.49,4.45,2.72,1002
0.52,Premium,F,I1,63,56,5.18,5.11,3.24,870
1.21,Ideal,F,VS1,59.7,57,6.94,6.92,4.14,9335
0.73,VeryGood,F,VVS2,61.9,59,5.72,5.84,3.58,3442
0.72,VeryGood,E,VVS1,60.8,58,5.79,5.83,3.53,4339
1,Good,G,SI2,59.7,63,6.43,6.5,3.86,3860
1.04,Ideal,H,SI1,62.7,54,6.51,6.47,4.07,4515
0.92,VeryGood,F,SI2,60.6,63,6.34,6.25,3.81,3534
1.1,Ideal,I,VS1,62.3,55,6.64,6.6,4.12,5864
0.5,Ideal,F,VVS2,62.2,54,5.09,5.11,3.17,2052
0.5,VeryGood,F,VS1,62.6,59,5.03,5.06,3.16,1738
0.3,VeryGood,E,VS1,63.8,59,4.21,4.22,2.69,640
1.03,Ideal,I,SI1,62.2,58,6.45,6.41,4,4434
0.49,VeryGood,F,VVS1,62.2,56,5.04,5.08,3.14,1952
0.24,VeryGood,E,VS1,62.4,59,3.94,3.98,2.47,419
0.39,Ideal,H,IF,61.9,55.6,4.68,4.7,2.91,1039
0.42,Premium,D,SI1,62.1,59,4.77,4.79,2.97,810
0.43,Ideal,D,VS2,61.8,56,4.83,4.81,2.98,1129
0.55,Ideal,F,VS1,61.5,56,5.26,5.3,3.25,1896
1.02,Good,I,SI2,63.6,56,6.4,6.37,4.06,3856
1,Premium,H,VS2,59.4,61,6.51,6.46,3.85,5572
0.52,Ideal,G,SI2,63,55,5.14,5.12,3.23,1151
1.1,VeryGood,D,SI2,61.6,57,6.61,6.67,4.09,5226
0.3,Ideal,F,VS2,62.1,57,4.27,4.3,2.66,568
0.5,Good,H,VVS1,63.3,57,5.02,5.06,3.19,1596
1.18,VeryGood,E,I1,59.9,63,6.8,6.85,4.09,3219
1.62,VeryGood,D,SI2,61.2,61,7.53,7.6,4.63,9034
0.7,VeryGood,F,VS2,61,59,5.69,5.75,3.49,2362
1.2,Ideal,G,VVS2,61.7,57,6.84,6.79,4.2,7688
0.41,Good,E,SI1,63.2,58,4.68,4.72,2.97,705
1.01,Ideal,E,I1,62,57,6.37,6.41,3.96,3388
0.5,Ideal,E,VS2,60.8,57,5.16,5.13,3.13,1768
0.73,Ideal,E,SI1,61.4,56,5.79,5.81,3.56,2886
0.45,Good,F,VS1,60.1,61.8,4.96,4.98,2.99,1262
0.6,Ideal,H,VVS2,62.2,55,5.38,5.43,3.36,1931
0.9,Fair,H,VS2,64.6,54,6.09,6.14,3.95,3725
1,Good,E,SI2,63.3,58,6.32,6.35,4.01,4496
1.27,VeryGood,H,SI1,62.3,58,6.87,6.94,4.3,7125
0.33,Ideal,G,VVS2,62.3,56,4.43,4.47,2.77,713
